x	y
-9.4390094E+00	2.9195038E+02
-2.5516636E+00	7.9864905E+01
-6.2153677E+00	1.3168113E+02
-4.6244125E+00	8.3120327E+01
-4.9847581E+00	5.7599414E+01
-5.5142336E-01	7.0587913E+01
-5.5895082E+00	7.9429879E+01
-8.9796047E+00	2.1245725E+02
6.4510990E+00	2.5069958E+02
-4.1388159E+00	5.0953579E+01
-8.5896334E+00	2.5691911E+02
-2.1476341E+00	1.9648346E+01
-7.5636578E+00	1.5016567E+02
8.5353540E+00	3.1464613E+02
9.3145178E+00	3.4725351E+02
-3.3086734E+00	3.1172308E+01
6.5268596E+00	2.4687116E+02
3.5160022E+00	9.2592328E+01
1.6644059E+00	5.1093772E+01
-9.2905345E+00	2.6990008E+02
6.4302324E+00	2.3248204E+02
-4.4664367E+00	6.2596861E+01
8.9508688E+00	3.1353062E+02
7.3528907E+00	2.5483518E+02
-6.9106818E+00	1.6372158E+02
-4.3793376E+00	6.2369684E+01
-9.9706265E+00	2.7685923E+02
-8.4557601E+00	2.5262304E+02
1.3467623E+00	4.0908827E+01
8.5306245E+00	3.3265419E+02
7.6861299E+00	2.8889326E+02
-3.9390466E+00	6.2644363E+01
2.8890458E+00	1.0454199E+02
1.7275993E+00	9.7356419E+01
7.3661344E+00	2.2327647E+02
1.9049110E+00	4.3571902E+01
-6.7607368E+00	1.1920280E+02
3.4231849E+00	6.1198061E+01
6.9361711E+00	2.2790027E+02
5.8412300E+00	2.0833105E+02
4.0885424E+00	8.9551909E+01
-6.5105386E+00	1.3134970E+02
-1.2379446E+00	1.0663164E+01
-5.2983198E+00	8.9516248E+01
6.6866998E+00	2.5189965E+02
-4.8633988E-01	1.0948244E+00
-5.1042476E+00	6.3662456E+01
4.8742979E+00	1.7842729E+02
-8.2186529E+00	1.6835359E+02
-4.9553008E+00	6.9549141E+01
-5.7449956E+00	7.5658467E+01
4.3863735E+00	1.4633058E+02
-9.2004857E+00	2.6916881E+02
-9.3684352E+00	2.8700920E+02
4.2986933E+00	1.3467605E+02
9.6559666E+00	4.3074531E+02
2.7320424E-01	6.0898673E+01
-8.1182381E-02	6.1311620E+01
-4.0971715E-01	7.1858984E+00
-5.8302038E+00	1.1962457E+02
-2.3015195E+00	3.6092558E+01
5.6667615E+00	1.7991835E+02
9.9829448E+00	4.4516951E+02
-6.4380297E+00	1.2593096E+02
-3.9110025E+00	7.3617096E+01
-7.0628400E-01	1.0762545E+01
-9.8675474E+00	2.5846712E+02
4.8459969E+00	1.8311146E+02
5.0209003E+00	1.3064444E+02
-6.5472888E+00	1.5012457E+02
-2.6376590E+00	2.7641169E+01
6.7516468E+00	2.4034601E+02
-5.0420303E+00	1.0396578E+02
1.5835550E+00	6.4115046E+01
3.5189279E+00	8.6167719E+01
4.8978263E+00	1.7837803E+02
1.2865377E+00	5.3587808E+01
-5.3432522E+00	6.1728971E+01
8.4696774E+00	3.4160328E+02
5.6477275E+00	1.9690559E+02
8.3415433E+00	2.8815193E+02
-2.0518365E+00	5.2359446E+00
9.2059814E+00	3.7056881E+02
9.1719117E+00	3.9673603E+02
1.6193835E+00	5.5764650E+01
-7.5983824E+00	2.0375457E+02
6.8989528E+00	2.6323612E+02
-2.8083349E+00	4.4669991E+01
4.5124317E+00	1.2432730E+02
-6.0070236E+00	1.1550563E+02
2.9070541E-01	8.0032405E+01
-5.2312287E+00	9.6723475E+01
-9.1085604E+00	2.7716498E+02
-9.3821119E+00	2.8045253E+02
8.8006883E-01	1.1725356E+01
8.9217746E+00	3.1386322E+02
-9.6138546E+00	2.6481732E+02
7.9032556E-01	1.4669252E+01
-8.2463239E+00	1.9058752E+02
-3.1077259E+00	4.2295387E+01
